,Member_number,Date,itemDescription,TransactionID
16456,1510,2015-05-16,Ice Cream,1510_2015-05-16
16457,2879,2015-04-18,Chocolate,2879_2015-04-18
16459,4326,2015-09-29,Root Vegetables,4326_2015-09-29
16460,1670,2015-05-17,Citrus Fruit,1670_2015-05-17
16461,1117,2015-05-24,Whole Milk,1117_2015-05-24
16462,1346,2015-04-03,Tropical Fruit,1346_2015-04-03
16463,1178,2015-11-15,Chocolate,1178_2015-11-15
16464,1649,2015-06-25,White Wine,1649_2015-06-25
16465,4651,2015-06-21,Citrus Fruit,4651_2015-06-21
16466,4243,2015-04-02,Detergent,4243_2015-04-02
16467,4429,2015-07-21,Rolls/Buns,4429_2015-07-21
16468,4645,2015-07-25,Whole Milk,4645_2015-07-25
16469,4019,2015-07-24,Margarine,4019_2015-07-24
16470,4459,2015-04-26,Soda,4459_2015-04-26
16471,3006,2015-12-27,Pork,3006_2015-12-27
16472,1834,2015-09-17,Shopping Bags,1834_2015-09-17
16473,3236,2015-07-04,Condensed Milk,3236_2015-07-04
16474,1765,2015-03-11,Beef,1765_2015-03-11
16475,3855,2015-03-09,Citrus Fruit,3855_2015-03-09
16476,4392,2015-11-28,Whole Milk,4392_2015-11-28
16477,3330,2015-07-26,Chewing Gum,3330_2015-07-26
16478,1723,2015-09-02,Sliced Cheese,1723_2015-09-02
16479,4110,2015-03-30,Pork,4110_2015-03-30
16480,2600,2015-01-28,Frozen Meals,2600_2015-01-28
16481,2946,2015-10-07,Pip Fruit,2946_2015-10-07
16482,2426,2015-09-08,Tropical Fruit,2426_2015-09-08
16483,4170,2015-05-03,Frozen Meals,4170_2015-05-03
16484,1109,2015-04-06,Frozen Vegetables,1109_2015-04-06
16485,3429,2015-01-04,Curd,3429_2015-01-04
16486,2055,2015-02-04,Chicken,2055_2015-02-04
16487,2480,2015-09-20,Soda,2480_2015-09-20
16488,2441,2015-05-30,Bottled Water,2441_2015-05-30
16489,1054,2015-10-04,Citrus Fruit,1054_2015-10-04
16490,4818,2015-01-11,Canned Beer,4818_2015-01-11
16491,3379,2015-01-21,Bottled Water,3379_2015-01-21
16492,3939,2015-02-10,Cake Bar,3939_2015-02-10
16493,1367,2015-08-05,Beef,1367_2015-08-05
16494,1043,2015-01-10,Rolls/Buns,1043_2015-01-10
16495,2231,2015-10-17,Soda,2231_2015-10-17
16496,3235,2015-12-28,Ice Cream,3235_2015-12-28
16497,4554,2015-07-16,Citrus Fruit,4554_2015-07-16
16498,3245,2015-01-24,White Wine,3245_2015-01-24
16499,2996,2015-05-19,Uht-Milk,2996_2015-05-19
16500,2507,2015-01-05,Bottled Water,2507_2015-01-05
16501,4186,2015-10-25,Whole Milk,4186_2015-10-25
16503,3760,2015-11-22,Uht-Milk,3760_2015-11-22
16504,4928,2015-08-18,Spread Cheese,4928_2015-08-18
16505,4217,2015-12-18,Yogurt,4217_2015-12-18
16506,1174,2015-02-11,Soft Cheese,1174_2015-02-11
16507,4103,2015-06-19,Red/Blush Wine,4103_2015-06-19
16508,4408,2015-03-13,White Bread,4408_2015-03-13
16509,2588,2015-12-28,Yogurt,2588_2015-12-28
16510,2598,2015-11-11,Brandy,2598_2015-11-11
16511,1518,2015-12-11,Pork,1518_2015-12-11
16512,2702,2015-04-08,Bottled Water,2702_2015-04-08
16513,1001,2015-01-20,Soda,1001_2015-01-20
16514,2270,2015-09-30,Soda,2270_2015-09-30
16515,2838,2015-11-10,Bottled Water,2838_2015-11-10
16516,1683,2015-05-26,Turkey,1683_2015-05-26
16517,4040,2015-04-03,Whole Milk,4040_2015-04-03
16518,3897,2015-08-23,Baking Powder,3897_2015-08-23
16519,2200,2015-03-11,Grapes,2200_2015-03-11
16520,4073,2015-01-29,Dessert,4073_2015-01-29
16521,3700,2015-04-19,Whole Milk,3700_2015-04-19
16522,3973,2015-06-10,Curd,3973_2015-06-10
16523,2715,2015-07-06,Canned Beer,2715_2015-07-06
16525,4002,2015-09-03,Whole Milk,4002_2015-09-03
16526,2962,2015-03-01,Tropical Fruit,2962_2015-03-01
16527,4340,2015-12-25,Candles,4340_2015-12-25
16528,2092,2015-11-06,Root Vegetables,2092_2015-11-06
16529,3143,2015-05-24,Root Vegetables,3143_2015-05-24
16530,2209,2015-10-03,Other Vegetables,2209_2015-10-03
16531,2816,2015-08-22,Grapes,2816_2015-08-22
16532,2659,2015-06-01,Rolls/Buns,2659_2015-06-01
16533,1588,2015-10-13,Zwieback,1588_2015-10-13
16534,1144,2015-10-15,Root Vegetables,1144_2015-10-15
16535,2166,2015-12-10,Other Vegetables,2166_2015-12-10
16536,3300,2015-10-06,Root Vegetables,3300_2015-10-06
16537,3944,2015-01-03,Cream Cheese ,3944_2015-01-03
16538,4979,2015-04-24,Rolls/Buns,4979_2015-04-24
16539,2630,2015-01-21,White Wine,2630_2015-01-21
16540,4240,2015-04-29,Chicken,4240_2015-04-29
16541,2357,2015-07-08,Bottled Beer,2357_2015-07-08
16542,1743,2015-04-18,Dessert,1743_2015-04-18
16543,2331,2015-02-15,Yogurt,2331_2015-02-15
16544,1643,2015-04-28,Rolls/Buns,1643_2015-04-28
16545,1291,2015-03-20,Fruit/Vegetable Juice,1291_2015-03-20
16546,3675,2015-07-04,Meat,3675_2015-07-04
16547,4134,2015-11-06,Whole Milk,4134_2015-11-06
16548,1363,2015-06-21,Whole Milk,1363_2015-06-21
16549,4212,2015-05-01,Tropical Fruit,4212_2015-05-01
16550,1500,2015-03-21,Pork,1500_2015-03-21
16551,2622,2015-10-01,Canned Fish,2622_2015-10-01
16552,3543,2015-03-18,Fruit/Vegetable Juice,3543_2015-03-18
16553,2525,2015-05-24,Beef,2525_2015-05-24
16554,1264,2015-10-12,Tropical Fruit,1264_2015-10-12
16555,3601,2015-07-06,Coffee,3601_2015-07-06
16556,1771,2015-03-23,Sausage,1771_2015-03-23
16557,4694,2015-02-06,Citrus Fruit,4694_2015-02-06
16558,1122,2015-12-21,Citrus Fruit,1122_2015-12-21
16559,3507,2015-08-12,Red/Blush Wine,3507_2015-08-12
16560,4524,2015-04-26,Pastry,4524_2015-04-26
16561,3612,2015-09-27,Other Vegetables,3612_2015-09-27
16562,3262,2015-06-11,Newspapers,3262_2015-06-11
16563,1897,2015-01-25,Root Vegetables,1897_2015-01-25
16564,1656,2015-10-30,Sliced Cheese,1656_2015-10-30
16565,3953,2015-01-10,Berries,3953_2015-01-10
16566,1488,2015-06-21,Grapes,1488_2015-06-21
16567,1652,2015-03-17,Citrus Fruit,1652_2015-03-17
16568,4953,2015-09-16,Citrus Fruit,4953_2015-09-16
16569,3445,2015-04-30,Tropical Fruit,3445_2015-04-30
16570,3180,2015-03-15,Sugar,3180_2015-03-15
16571,4934,2015-09-06,Other Vegetables,4934_2015-09-06
16572,2980,2015-04-27,Butter Milk,2980_2015-04-27
16573,2763,2015-02-13,Rolls/Buns,2763_2015-02-13
16574,4819,2015-03-04,Meat,4819_2015-03-04
16575,3169,2015-07-02,White Bread,3169_2015-07-02
16576,1850,2015-03-11,Grapes,1850_2015-03-11
16577,4285,2015-12-29,Rolls/Buns,4285_2015-12-29
16578,4366,2015-08-13,Semi-Finished Bread,4366_2015-08-13
16579,2253,2015-06-16,Rolls/Buns,2253_2015-06-16
16580,3398,2015-03-11,Citrus Fruit,3398_2015-03-11
16581,2215,2015-07-22,Frozen Vegetables,2215_2015-07-22
16582,3737,2015-03-03,Berries,3737_2015-03-03
16583,2649,2015-11-28,Root Vegetables,2649_2015-11-28
16584,3203,2015-08-07,Pet Care,3203_2015-08-07
16585,4261,2015-02-16,Tropical Fruit,4261_2015-02-16
16587,2046,2015-08-21,Pork,2046_2015-08-21
16588,4267,2015-02-11,Butter,4267_2015-02-11
16589,1086,2015-12-28,Citrus Fruit,1086_2015-12-28
16591,3622,2015-07-26,Cake Bar,3622_2015-07-26
16592,4700,2015-06-27,Whole Milk,4700_2015-06-27
16593,2272,2015-05-16,Whole Milk,2272_2015-05-16
16594,1663,2015-05-19,Yogurt,1663_2015-05-19
16595,2519,2015-06-03,Frozen Fish,2519_2015-06-03
16596,2639,2015-10-30,Other Vegetables,2639_2015-10-30
16597,1466,2015-04-19,Root Vegetables,1466_2015-04-19
16598,4122,2015-10-23,Uht-Milk,4122_2015-10-23
16599,3598,2015-04-15,Uht-Milk,3598_2015-04-15
16600,3097,2015-08-10,Brown Bread,3097_2015-08-10
16602,1537,2015-02-01,Yogurt,1537_2015-02-01
16603,3960,2015-03-25,Root Vegetables,3960_2015-03-25
16604,1136,2015-06-15,Citrus Fruit,1136_2015-06-15
16605,2453,2015-12-21,Bottled Beer,2453_2015-12-21
16606,1746,2015-02-15,Pip Fruit,1746_2015-02-15
16607,3572,2015-06-09,Rolls/Buns,3572_2015-06-09
16608,3246,2015-06-24,Root Vegetables,3246_2015-06-24
16609,3207,2015-11-26,Soda,3207_2015-11-26
16610,1042,2015-02-12,Dessert,1042_2015-02-12
16611,1176,2015-03-30,Tropical Fruit,1176_2015-03-30
16612,3054,2015-02-23,Sausage,3054_2015-02-23
16613,4486,2015-12-02,Rolls/Buns,4486_2015-12-02
16614,1580,2015-12-05,Whole Milk,1580_2015-12-05
16615,1623,2015-11-02,Chocolate,1623_2015-11-02
16616,4169,2015-11-24,Bottled Water,4169_2015-11-24
16617,2254,2015-01-24,Pork,2254_2015-01-24
16618,4095,2015-11-01,Butter,4095_2015-11-01
16619,1264,2015-11-17,Pastry,1264_2015-11-17
16620,3375,2015-01-06,Citrus Fruit,3375_2015-01-06
16621,3242,2015-05-23,Whole Milk,3242_2015-05-23
16622,2227,2015-06-07,Herbs,2227_2015-06-07
16623,3847,2015-12-03,Organic Sausage,3847_2015-12-03
16624,3897,2015-05-31,Root Vegetables,3897_2015-05-31
16625,1799,2015-09-27,Whole Milk,1799_2015-09-27
16626,2920,2015-04-26,Hard Cheese,2920_2015-04-26
16627,3713,2015-01-31,Citrus Fruit,3713_2015-01-31
16628,4230,2015-11-05,Grapes,4230_2015-11-05
16629,1455,2015-03-18,Specialty Bar,1455_2015-03-18
16630,3687,2015-03-18,White Wine,3687_2015-03-18
16631,3869,2015-08-01,Herbs,3869_2015-08-01
16632,2988,2015-10-14,Yogurt,2988_2015-10-14
16633,4242,2015-03-30,Brown Bread,4242_2015-03-30
16634,4118,2015-12-24,Other Vegetables,4118_2015-12-24
16635,4996,2015-10-24,Bottled Beer,4996_2015-10-24
16636,4489,2015-03-04,Frozen Vegetables,4489_2015-03-04
16637,1199,2015-11-09,Sausage,1199_2015-11-09
16638,4108,2015-05-12,Candy,4108_2015-05-12
16639,3484,2015-06-05,Candy,3484_2015-06-05
16640,1239,2015-08-31,Tropical Fruit,1239_2015-08-31
16641,4839,2015-12-19,Shopping Bags,4839_2015-12-19
16642,4748,2015-05-07,Fruit/Vegetable Juice,4748_2015-05-07
16643,4426,2015-06-06,Whole Milk,4426_2015-06-06
16644,3571,2015-12-11,Beef,3571_2015-12-11
16645,2852,2015-06-08,Whipped/Sour Cream,2852_2015-06-08
16646,3638,2015-05-26,Grapes,3638_2015-05-26
16647,3635,2015-03-10,Rolls/Buns,3635_2015-03-10
16648,2723,2015-05-07,Tropical Fruit,2723_2015-05-07
16649,3495,2015-03-11,Root Vegetables,3495_2015-03-11
16650,2813,2015-11-16,Yogurt,2813_2015-11-16
16651,2799,2015-09-02,Fruit/Vegetable Juice,2799_2015-09-02
16652,4723,2015-05-22,Pastry,4723_2015-05-22
16653,3313,2015-04-08,Tropical Fruit,3313_2015-04-08
16655,2991,2015-02-16,Root Vegetables,2991_2015-02-16
16656,1483,2015-04-01,Sausage,1483_2015-04-01
16657,3950,2015-10-01,Tropical Fruit,3950_2015-10-01
16658,1634,2015-01-16,Yogurt,1634_2015-01-16
16659,2694,2015-11-21,Pip Fruit,2694_2015-11-21
16660,2707,2015-10-18,Pastry,2707_2015-10-18
16661,2813,2015-07-16,Tidbits,2813_2015-07-16
16662,2276,2015-01-11,Pork,2276_2015-01-11
16663,4726,2015-02-06,Liquor (Appetizer),4726_2015-02-06
16664,4353,2015-05-25,Hamburger Meat,4353_2015-05-25
16666,1422,2015-08-21,Curd,1422_2015-08-21
16667,2714,2015-03-15,Chocolate,2714_2015-03-15
16668,2769,2015-07-21,Canned Beer,2769_2015-07-21
16669,4166,2015-04-30,Mustard,4166_2015-04-30
16670,3614,2015-03-02,Tropical Fruit,3614_2015-03-02
16671,4361,2015-09-05,Chicken,4361_2015-09-05
16672,1922,2015-09-22,Other Vegetables,1922_2015-09-22
16673,4728,2015-09-06,Rolls/Buns,4728_2015-09-06
16674,3646,2015-08-08,Hard Cheese,3646_2015-08-08
16675,1155,2015-08-10,House Keeping Products,1155_2015-08-10
16676,2119,2015-06-11,Packaged Fruit/Vegetables,2119_2015-06-11
16677,1602,2015-08-29,Beef,1602_2015-08-29
16678,1074,2015-06-24,Instant Coffee,1074_2015-06-24
16679,2256,2015-04-11,Curd,2256_2015-04-11
16680,1348,2015-09-17,Beef,1348_2015-09-17
16681,3806,2015-08-28,Pork,3806_2015-08-28
16683,3959,2015-04-12,Popcorn,3959_2015-04-12
16684,1590,2015-08-15,Whole Milk,1590_2015-08-15
16685,1962,2015-06-08,Citrus Fruit,1962_2015-06-08
16686,1766,2015-01-21,Canned Beer,1766_2015-01-21
16687,2551,2015-10-21,Beef,2551_2015-10-21
16688,2294,2015-09-23,Rolls/Buns,2294_2015-09-23
16689,4531,2015-05-29,Shopping Bags,4531_2015-05-29
16690,2957,2015-04-12,Bottled Beer,2957_2015-04-12
16691,4415,2015-01-27,Coffee,4415_2015-01-27
16692,1476,2015-08-26,Shopping Bags,1476_2015-08-26
16693,3978,2015-07-23,Beef,3978_2015-07-23
16694,2062,2015-09-22,Shopping Bags,2062_2015-09-22
16695,3252,2015-06-28,Brown Bread,3252_2015-06-28
16696,3922,2015-06-24,Grapes,3922_2015-06-24
16697,1491,2015-10-17,Other Vegetables,1491_2015-10-17
16698,3526,2015-08-26,White Wine,3526_2015-08-26
16699,4060,2015-12-11,Canned Beer,4060_2015-12-11
16700,1067,2015-04-08,Pork,1067_2015-04-08
16701,2840,2015-01-27,Cat Food,2840_2015-01-27
16702,4484,2015-11-27,Pork,4484_2015-11-27
16703,2353,2015-02-07,Bottled Water,2353_2015-02-07
16704,3130,2015-02-18,Bottled Water,3130_2015-02-18
16705,4273,2015-06-14,Soda,4273_2015-06-14
16707,2504,2015-08-14,Tropical Fruit,2504_2015-08-14
16708,4127,2015-10-23,Popcorn,4127_2015-10-23
16709,2690,2015-04-01,Whole Milk,2690_2015-04-01
16710,4129,2015-09-22,Onions,4129_2015-09-22
16711,4511,2015-06-29,Pork,4511_2015-06-29
16712,1602,2015-08-04,Whole Milk,1602_2015-08-04
16713,4369,2015-02-01,Yogurt,4369_2015-02-01
16714,1302,2015-09-29,Root Vegetables,1302_2015-09-29
16715,3326,2015-04-30,Chicken,3326_2015-04-30
16716,2066,2015-05-21,Zwieback,2066_2015-05-21
16717,3483,2015-01-15,Chicken,3483_2015-01-15
16718,2840,2015-02-12,Curd,2840_2015-02-12
16719,1807,2015-05-18,Margarine,1807_2015-05-18
16720,2067,2015-08-12,Meat,2067_2015-08-12
16721,3783,2015-02-17,Salt,3783_2015-02-17
16722,2884,2015-01-04,Napkins,2884_2015-01-04
16723,2908,2015-03-15,Misc. Beverages,2908_2015-03-15
16724,1330,2015-07-10,Processed Cheese,1330_2015-07-10
16725,2293,2015-05-08,Chicken,2293_2015-05-08
16726,3718,2015-05-20,Whole Milk,3718_2015-05-20
16727,4338,2015-01-25,Cream Cheese ,4338_2015-01-25
16728,3486,2015-11-08,Citrus Fruit,3486_2015-11-08
16729,3635,2015-09-04,Red/Blush Wine,3635_2015-09-04
16730,2857,2015-02-18,Tropical Fruit,2857_2015-02-18
16731,3684,2015-08-13,Whole Milk,3684_2015-08-13
16732,3120,2015-10-20,Other Vegetables,3120_2015-10-20
16733,3872,2015-03-19,Whole Milk,3872_2015-03-19
16735,2702,2015-05-27,Whipped/Sour Cream,2702_2015-05-27
16736,4796,2015-06-29,Beef,4796_2015-06-29
16737,1564,2015-10-23,Pasta,1564_2015-10-23
16738,2740,2015-07-02,Curd,2740_2015-07-02
16739,1833,2015-04-13,Tropical Fruit,1833_2015-04-13
16740,1757,2015-12-23,Other Vegetables,1757_2015-12-23
16741,2975,2015-10-24,Cream Cheese ,2975_2015-10-24
16742,4032,2015-08-10,Sausage,4032_2015-08-10
16743,3979,2015-09-16,Ham,3979_2015-09-16
16744,3772,2015-03-09,Yogurt,3772_2015-03-09
16745,4523,2015-10-28,Butter,4523_2015-10-28
16746,4004,2015-04-19,Citrus Fruit,4004_2015-04-19
16747,2936,2015-06-08,Domestic Eggs,2936_2015-06-08
16748,2394,2015-06-21,Newspapers,2394_2015-06-21
16749,4616,2015-08-16,Semi-Finished Bread,4616_2015-08-16
16750,2362,2015-07-08,Bottled Beer,2362_2015-07-08
16751,3593,2015-11-03,Berries,3593_2015-11-03
16752,4389,2015-08-27,Cake Bar,4389_2015-08-27
16753,3206,2015-08-11,Rum,3206_2015-08-11
16754,4601,2015-01-04,Salty Snack,4601_2015-01-04
16755,4382,2015-11-13,Hamburger Meat,4382_2015-11-13
16756,2718,2015-06-08,Chicken,2718_2015-06-08
16757,4691,2015-10-12,White Wine,4691_2015-10-12
16758,3735,2015-11-28,Rolls/Buns,3735_2015-11-28
16759,3900,2015-12-20,Sausage,3900_2015-12-20
16760,4959,2015-06-30,Frozen Vegetables,4959_2015-06-30
16761,1815,2015-08-30,Sausage,1815_2015-08-30
16763,4778,2015-01-15,Hamburger Meat,4778_2015-01-15
16764,2289,2015-11-04,Tropical Fruit,2289_2015-11-04
16765,1734,2015-07-13,Bottled Water,1734_2015-07-13
16766,4019,2015-02-05,Meat,4019_2015-02-05
16767,4605,2015-05-28,Butter,4605_2015-05-28
16768,4864,2015-11-14,Soda,4864_2015-11-14
16769,4205,2015-02-22,Herbs,4205_2015-02-22
16770,1862,2015-08-03,Other Vegetables,1862_2015-08-03
16771,1846,2015-07-19,Oil,1846_2015-07-19
16772,2019,2015-05-28,Waffles,2019_2015-05-28
16773,2042,2015-11-19,Pork,2042_2015-11-19
16774,1768,2015-05-26,Pickled Vegetables,1768_2015-05-26
16775,3847,2015-03-26,Candy,3847_2015-03-26
16776,3557,2015-07-20,Chocolate Marshmallow,3557_2015-07-20
16777,3975,2015-02-27,Tropical Fruit,3975_2015-02-27
16778,4198,2015-03-18,Yogurt,4198_2015-03-18
16779,2580,2015-09-04,Yogurt,2580_2015-09-04
16780,3474,2015-08-25,Frozen Potato Products,3474_2015-08-25
16781,1678,2015-11-14,Canned Beer,1678_2015-11-14
16782,4254,2015-08-14,Ham,4254_2015-08-14
16783,4704,2015-08-21,Butter,4704_2015-08-21
16784,3343,2015-05-10,Specialty Bar,3343_2015-05-10
16785,3812,2015-06-24,Berries,3812_2015-06-24
16786,3093,2015-03-13,Yogurt,3093_2015-03-13
16787,2170,2015-06-18,Ham,2170_2015-06-18
16788,4867,2015-10-29,Beef,4867_2015-10-29
16789,3899,2015-03-23,Tropical Fruit,3899_2015-03-23
16790,2941,2015-10-03,Other Vegetables,2941_2015-10-03
16791,1958,2015-07-03,Liquor,1958_2015-07-03
16792,2760,2015-08-08,Tropical Fruit,2760_2015-08-08
16793,4413,2015-08-03,Beverages,4413_2015-08-03
16794,1737,2015-05-15,Citrus Fruit,1737_2015-05-15
16795,4202,2015-02-18,Meat,4202_2015-02-18
16796,1065,2015-11-13,Tropical Fruit,1065_2015-11-13
16797,3819,2015-06-28,Fruit/Vegetable Juice,3819_2015-06-28
16798,2854,2015-02-08,Candy,2854_2015-02-08
16799,4387,2015-09-16,Rolls/Buns,4387_2015-09-16
16800,4530,2015-04-12,Fruit/Vegetable Juice,4530_2015-04-12
16801,4191,2015-11-03,Whipped/Sour Cream,4191_2015-11-03
16802,3102,2015-12-04,Other Vegetables,3102_2015-12-04
16803,1946,2015-01-25,Whole Milk,1946_2015-01-25
16804,2156,2015-05-15,Whole Milk,2156_2015-05-15
16805,1444,2015-12-16,Other Vegetables,1444_2015-12-16
16806,1699,2015-05-14,Pip Fruit,1699_2015-05-14
16807,4954,2015-05-04,Grapes,4954_2015-05-04
16808,2207,2015-04-08,Cream Cheese ,2207_2015-04-08
16809,4826,2015-01-28,Tropical Fruit,4826_2015-01-28
16810,2374,2015-06-08,Tropical Fruit,2374_2015-06-08
16811,1604,2015-08-18,Margarine,1604_2015-08-18
16812,4437,2015-11-29,Frozen Fish,4437_2015-11-29
16813,2319,2015-05-10,Yogurt,2319_2015-05-10
16814,3018,2015-06-27,Root Vegetables,3018_2015-06-27
16815,1195,2015-09-28,Soft Cheese,1195_2015-09-28
16816,1768,2015-09-04,Root Vegetables,1768_2015-09-04
16817,3017,2015-09-28,Tropical Fruit,3017_2015-09-28
16818,3384,2015-11-29,Frozen Vegetables,3384_2015-11-29
16819,1918,2015-01-30,Meat,1918_2015-01-30
16820,2524,2015-10-17,Citrus Fruit,2524_2015-10-17
16821,2798,2015-06-17,Bottled Beer,2798_2015-06-17
16822,2096,2015-01-25,Soda,2096_2015-01-25
16823,1489,2015-03-13,Whole Milk,1489_2015-03-13
16824,1431,2015-07-20,Domestic Eggs,1431_2015-07-20
16825,2747,2015-07-05,Butter,2747_2015-07-05
16826,3054,2015-03-22,Salt,3054_2015-03-22
16827,2691,2015-10-09,Tropical Fruit,2691_2015-10-09
16828,1752,2015-04-19,Butter Milk,1752_2015-04-19
16829,3027,2015-09-15,Red/Blush Wine,3027_2015-09-15
16830,4452,2015-06-17,Pork,4452_2015-06-17
16831,4129,2015-08-13,Cereals,4129_2015-08-13
16832,3523,2015-11-09,Other Vegetables,3523_2015-11-09
16833,2128,2015-02-11,Chocolate Marshmallow,2128_2015-02-11
16834,4867,2015-02-03,Whole Milk,4867_2015-02-03
16835,4762,2015-10-30,Pork,4762_2015-10-30
16836,1632,2015-05-29,Whole Milk,1632_2015-05-29
16838,1722,2015-07-13,Whole Milk,1722_2015-07-13
16839,1438,2015-10-19,Whole Milk,1438_2015-10-19
16840,3958,2015-10-27,Brown Bread,3958_2015-10-27
16841,3292,2015-09-13,Pork,3292_2015-09-13
16842,2861,2015-02-23,Tropical Fruit,2861_2015-02-23
16843,1757,2015-02-24,Salty Snack,1757_2015-02-24
16844,1509,2015-12-30,Liquor (Appetizer),1509_2015-12-30
16845,2364,2015-05-11,White Bread,2364_2015-05-11
16846,3084,2015-10-26,Canned Beer,3084_2015-10-26
16847,1850,2015-02-17,Soda,1850_2015-02-17
16848,1949,2015-03-17,Tropical Fruit,1949_2015-03-17
16849,4740,2015-10-02,Uht-Milk,4740_2015-10-02
16850,1072,2015-10-23,Canned Beer,1072_2015-10-23
16851,4196,2015-07-09,Other Vegetables,4196_2015-07-09
16853,1514,2015-02-28,Whole Milk,1514_2015-02-28
16854,4584,2015-10-25,Yogurt,4584_2015-10-25
16855,2751,2015-02-03,Brown Bread,2751_2015-02-03
16856,4155,2015-09-24,Pork,4155_2015-09-24
16857,4670,2015-10-11,Whole Milk,4670_2015-10-11
16858,4566,2015-07-27,Pastry,4566_2015-07-27
16859,2371,2015-08-30,Frozen Fish,2371_2015-08-30
16860,3442,2015-11-14,Pip Fruit,3442_2015-11-14
16861,3090,2015-09-27,Root Vegetables,3090_2015-09-27
16862,1457,2015-01-09,Butter Milk,1457_2015-01-09
16863,4952,2015-04-08,Whole Milk,4952_2015-04-08
16864,3165,2015-01-11,Tropical Fruit,3165_2015-01-11
16865,2608,2015-09-19,Other Vegetables,2608_2015-09-19
16866,2040,2015-10-07,Sugar,2040_2015-10-07
16867,1327,2015-08-09,Curd,1327_2015-08-09
16868,3363,2015-01-07,Herbs,3363_2015-01-07
16869,1731,2015-09-09,Tropical Fruit,1731_2015-09-09
16870,2760,2015-08-02,Other Vegetables,2760_2015-08-02
16871,3120,2015-01-14,White Bread,3120_2015-01-14
16872,1332,2015-04-30,Whole Milk,1332_2015-04-30
16874,3145,2015-02-23,Citrus Fruit,3145_2015-02-23
16875,1099,2015-08-13,Pork,1099_2015-08-13
16876,3188,2015-12-06,Other Vegetables,3188_2015-12-06
16877,3748,2015-10-13,Canned Beer,3748_2015-10-13
16879,1827,2015-05-01,Whole Milk,1827_2015-05-01
16880,2485,2015-02-17,Pork,2485_2015-02-17
16881,4683,2015-01-15,Tropical Fruit,4683_2015-01-15
16882,4358,2015-11-06,Pasta,4358_2015-11-06
16883,1931,2015-10-09,Other Vegetables,1931_2015-10-09
16884,2490,2015-12-18,Pip Fruit,2490_2015-12-18
16885,4842,2015-12-08,Yogurt,4842_2015-12-08
16886,4616,2015-01-01,Hamburger Meat,4616_2015-01-01
16887,2810,2015-09-22,Citrus Fruit,2810_2015-09-22
16888,2785,2015-10-18,Pork,2785_2015-10-18
16889,3591,2015-07-20,Newspapers,3591_2015-07-20
16890,3896,2015-09-10,Dessert,3896_2015-09-10
16891,3842,2015-07-01,Bottled Water,3842_2015-07-01
16892,2648,2015-07-10,Root Vegetables,2648_2015-07-10
16893,4688,2015-10-02,Dessert,4688_2015-10-02
16894,3511,2015-08-26,Bottled Water,3511_2015-08-26
16895,3084,2015-09-04,Whole Milk,3084_2015-09-04
16896,3810,2015-05-07,Other Vegetables,3810_2015-05-07
16898,3584,2015-03-10,Photo/Film,3584_2015-03-10
16899,2620,2015-06-11,Pork,2620_2015-06-11
16900,2716,2015-01-18,Beef,2716_2015-01-18
16902,2976,2015-06-02,Citrus Fruit,2976_2015-06-02
16903,2762,2015-11-07,Whole Milk,2762_2015-11-07
16904,3752,2015-04-25,Root Vegetables,3752_2015-04-25
16905,1659,2015-11-30,Whole Milk,1659_2015-11-30
16906,4109,2015-02-08,Whipped/Sour Cream,4109_2015-02-08
16907,1542,2015-08-07,Whole Milk,1542_2015-08-07
16908,2068,2015-06-07,Whole Milk,2068_2015-06-07
16909,4509,2015-06-14,Whole Milk,4509_2015-06-14
16910,4646,2015-06-14,Hamburger Meat,4646_2015-06-14
16911,2122,2015-04-07,Tropical Fruit,2122_2015-04-07
16912,2730,2015-06-15,Abrasive Cleaner,2730_2015-06-15
16913,1800,2015-07-31,Rolls/Buns,1800_2015-07-31
16915,1138,2015-09-02,Root Vegetables,1138_2015-09-02
16916,4104,2015-06-12,Other Vegetables,4104_2015-06-12
16917,4985,2015-02-28,Pickled Vegetables,4985_2015-02-28
16918,3181,2015-12-13,Chicken,3181_2015-12-13
16919,3178,2015-10-21,Other Vegetables,3178_2015-10-21
16920,1688,2015-11-10,Root Vegetables,1688_2015-11-10
16921,1488,2015-11-28,Curd,1488_2015-11-28
16922,4975,2015-05-08,Yogurt,4975_2015-05-08
16923,4697,2015-01-09,Whole Milk,4697_2015-01-09
16924,4742,2015-01-11,Meat,4742_2015-01-11
16926,2548,2015-12-25,Citrus Fruit,2548_2015-12-25
16927,2825,2015-12-29,Root Vegetables,2825_2015-12-29
16928,2592,2015-07-04,Onions,2592_2015-07-04
16929,3622,2015-12-28,Bottled Beer,3622_2015-12-28
16930,4852,2015-08-21,Pip Fruit,4852_2015-08-21
16931,1839,2015-09-03,Herbs,1839_2015-09-03
16932,2413,2015-04-04,Other Vegetables,2413_2015-04-04
16933,2982,2015-06-14,Soda,2982_2015-06-14
16934,1981,2015-10-31,Specialty Chocolate,1981_2015-10-31
16935,4440,2015-09-21,Fruit/Vegetable Juice,4440_2015-09-21
16936,3497,2015-11-24,Pork,3497_2015-11-24
16938,4460,2015-05-28,Red/Blush Wine,4460_2015-05-28
16939,1335,2015-01-16,Coffee,1335_2015-01-16
16940,4303,2015-12-07,White Bread,4303_2015-12-07
16941,3508,2015-02-28,Citrus Fruit,3508_2015-02-28
16942,1959,2015-03-19,Other Vegetables,1959_2015-03-19
